,event_index,event_timestamp,input_device,event_type,event_code,event_value
356,27,83728.430378,/dev/input/event13:,0000,0000,00000000
357,27,83728.632083,/dev/input/event13:,0001,000f,00000001
358,27,83728.632083,/dev/input/event13:,0000,0000,00000000
359,27,83728.632192,/dev/input/event13:,0001,000f,00000000
360,27,83728.632192,/dev/input/event13:,0000,0000,00000000
361,27,83731.131164,/dev/input/event2:,0003,0039,00000000
362,27,83731.131164,/dev/input/event2:,0003,0030,0000001f
363,27,83731.131164,/dev/input/event2:,0003,003a,00000081
364,27,83731.131164,/dev/input/event2:,0003,0035,00006b41
365,27,83731.131164,/dev/input/event2:,0003,0036,00006f65
366,27,83731.131164,/dev/input/event2:,0000,0000,00000000
367,27,83731.203103,/dev/input/event2:,0003,003a,00000000
368,27,83731.203103,/dev/input/event2:,0003,0039,ffffffff
369,27,83731.203103,/dev/input/event2:,0000,0000,00000000
370,28,83749.576819,/dev/input/event13:,0001,0002,00000001
371,28,83749.576819,/dev/input/event13:,0000,0000,00000000
372,28,83749.576924,/dev/input/event13:,0001,0002,00000000
373,28,83749.576924,/dev/input/event13:,0000,0000,00000000
374,28,83749.740554,/dev/input/event13:,0001,0005,00000001
375,28,83749.740554,/dev/input/event13:,0000,0000,00000000
376,28,83749.740596,/dev/input/event13:,0001,0005,00000000
377,28,83749.740596,/dev/input/event13:,0000,0000,00000000
378,28,83750.165983,/dev/input/event13:,0001,000a,00000001
379,28,83750.165983,/dev/input/event13:,0000,0000,00000000
380,28,83750.166106,/dev/input/event13:,0001,000a,00000000
381,28,83750.166106,/dev/input/event13:,0000,0000,00000000
382,28,83750.280093,/dev/input/event13:,0001,0003,00000001
383,28,83750.280093,/dev/input/event13:,0000,0000,00000000
384,28,83750.280214,/dev/input/event13:,0001,0003,00000000
385,28,83750.280214,/dev/input/event13:,0000,0000,00000000
386,28,83750.512920,/dev/input/event13:,0001,002e,00000001
387,28,83750.512920,/dev/input/event13:,0000,0000,00000000
388,28,83750.512985,/dev/input/event13:,0001,002e,00000000
389,28,83750.512985,/dev/input/event13:,0000,0000,00000000
390,28,83750.645148,/dev/input/event13:,0001,0018,00000001
391,28,83750.645148,/dev/input/event13:,0000,0000,00000000
392,28,83750.645211,/dev/input/event13:,0001,0018,00000000
393,28,83750.645211,/dev/input/event13:,0000,0000,00000000
394,28,83750.781417,/dev/input/event13:,0001,0026,00000001
395,28,83750.781417,/dev/input/event13:,0000,0000,00000000
396,28,83750.781466,/dev/input/event13:,0001,0026,00000000
397,28,83750.781466,/dev/input/event13:,0000,0000,00000000
398,28,83750.965082,/dev/input/event13:,0001,0016,00000001
399,28,83750.965082,/dev/input/event13:,0000,0000,00000000
400,28,83750.965116,/dev/input/event13:,0001,0016,00000000
401,28,83750.965116,/dev/input/event13:,0000,0000,00000000
402,28,83751.128117,/dev/input/event13:,0001,0032,00000001
403,28,83751.128117,/dev/input/event13:,0000,0000,00000000
404,28,83751.128233,/dev/input/event13:,0001,0032,00000000
405,28,83751.128233,/dev/input/event13:,0000,0000,00000000
406,28,83751.305697,/dev/input/event13:,0001,0022,00000001
407,28,83751.305697,/dev/input/event13:,0000,0000,00000000
408,28,83751.305794,/dev/input/event13:,0001,0022,00000000
409,28,83751.305794,/dev/input/event13:,0000,0000,00000000
410,28,83751.401542,/dev/input/event13:,0001,001e,00000001
411,28,83751.401542,/dev/input/event13:,0000,0000,00000000
412,28,83751.401724,/dev/input/event13:,0001,001e,00000000
413,28,83751.401724,/dev/input/event13:,0000,0000,00000000
414,28,83751.588037,/dev/input/event13:,0001,001f,00000001
415,28,83751.588037,/dev/input/event13:,0000,0000,00000000
416,28,83751.588163,/dev/input/event13:,0001,001f,00000000
417,28,83751.588163,/dev/input/event13:,0000,0000,00000000
418,28,83751.760387,/dev/input/event13:,0001,001f,00000001
419,28,83751.760387,/dev/input/event13:,0000,0000,00000000
420,28,83751.760517,/dev/input/event13:,0001,001f,00000000
421,28,83751.760517,/dev/input/event13:,0000,0000,00000000
422,28,83752.915393,/dev/input/event13:,0001,001c,00000001
423,28,83752.915393,/dev/input/event13:,0000,0000,00000000
424,28,83753.056817,/dev/input/event13:,0001,001c,00000000
425,28,83753.056817,/dev/input/event13:,0000,0000,00000000
426,28,83770.643836,/dev/input/event2:,0003,0039,00000000
427,28,83770.643836,/dev/input/event2:,0003,0030,00000020
428,28,83770.643836,/dev/input/event2:,0003,003a,00000081
429,28,83770.643836,/dev/input/event2:,0003,0035,00003f2b
430,28,83770.643836,/dev/input/event2:,0003,0036,00005ba9
431,28,83770.643836,/dev/input/event2:,0000,0000,00000000
432,28,83770.769295,/dev/input/event2:,0003,0036,00005b65
433,28,83770.769295,/dev/input/event2:,0000,0000,00000000
434,28,83770.775468,/dev/input/event2:,0003,0036,00005a98
435,28,83770.775468,/dev/input/event2:,0000,0000,00000000
436,28,83770.785795,/dev/input/event2:,0003,0036,000059cc
437,28,83770.785795,/dev/input/event2:,0000,0000,00000000
438,28,83770.792999,/dev/input/event2:,0003,0036,000058bb
439,28,83770.792999,/dev/input/event2:,0000,0000,00000000
440,28,83770.799655,/dev/input/event2:,0003,0036,000057a9
441,28,83770.799655,/dev/input/event2:,0000,0000,00000000
